"customer_id","recency_days","frequency","monetary"
CUS000474,106,6,92084500.00
CUS000550,142,7,111672500.00
CUS000071,119,2,42726500.00
CUS000870,110,8,131593500.00
CUS000050,133,3,51082000.00
CUS000432,166,2,13464000.00
CUS000937,93,3,42967000.00
CUS000250,95,6,49577500.00
CUS000527,110,4,13871000.00
CUS000132,92,7,89296000.00
CUS000226,156,4,73013500.00
CUS000631,107,6,69963500.00
CUS000110,113,7,115887500.00
CUS000617,121,7,98483500.00
CUS000043,172,3,31580000.00
CUS000332,112,7,69959500.00
CUS000061,128,7,61247000.00
CUS000651,222,1,2060000.00
CUS000687,112,4,27491000.00
CUS000016,101,4,63229000.00
CUS000844,144,7,61349000.00
CUS000738,103,5,40975500.00
CUS000709,128,2,14973000.00
CUS000138,91,4,49102000.00
CUS000975,159,5,66830500.00
CUS000595,,0,0
CUS000310,134,4,52941500.00
CUS000381,121,5,31302000.00
CUS000754,91,8,112313000.00
CUS000807,226,1,6593500.00
CUS000593,182,5,85366000.00
CUS000826,87,10,111142500.00
CUS000828,93,11,124843500.00
CUS000672,114,6,65540000.00
CUS000886,93,6,75010000.00
CUS000964,170,4,53589000.00
CUS000343,126,1,551000.00
CUS000793,90,5,46601000.00
CUS000029,95,7,91077500.00
CUS000008,186,2,26820500.00
CUS000355,104,7,66340500.00
CUS000340,206,1,23295500.00
CUS000684,100,5,55324500.00
CUS000211,104,8,78444000.00
CUS000227,92,4,94307500.00
CUS000943,104,4,13393500.00
CUS000848,143,6,113122500.00
CUS000201,120,3,29173000.00
CUS000491,95,3,68067000.00
CUS000532,173,7,71042000.00
CUS000882,112,3,41366000.00
CUS000954,128,5,57923500.00
CUS000244,103,8,61522000.00
CUS000749,129,3,28904500.00
CUS000419,130,3,30581000.00
CUS000418,183,7,107999000.00
CUS000021,131,3,43428500.00
CUS000908,197,3,44980500.00
CUS000718,104,5,82124500.00
CUS000181,168,3,46365500.00
CUS000048,,0,0
CUS000585,137,2,31404500.00
CUS000942,155,4,62099000.00
CUS000377,90,9,109040000.00
CUS000733,203,3,40727500.00
CUS000090,132,5,78840500.00
CUS000174,191,2,19657500.00
CUS000592,99,6,77994000.00
CUS000170,113,4,35874500.00
CUS000692,119,4,56942500.00
CUS000876,91,3,16775000.00
CUS000089,106,9,132246500.00
CUS000168,105,6,67178000.00
CUS000616,95,1,5073000.00
CUS000638,163,5,71160000.00
CUS000431,103,4,48840500.00
CUS000753,91,4,53779500.00
CUS000459,91,8,116848000.00
CUS000224,117,4,46763000.00
CUS000330,136,5,69764000.00
CUS000152,212,4,62114000.00
CUS000080,106,5,74080500.00
CUS000522,112,5,62687500.00
CUS000887,163,3,70972000.00
CUS000351,90,4,52899500.00
CUS000363,96,6,56275000.00
CUS000496,120,5,90552000.00
CUS000981,163,4,50279500.00
CUS000093,141,6,72526000.00
CUS000162,198,3,50920000.00
CUS000766,100,2,48408000.00
CUS000977,95,5,40766500.00
CUS000079,142,3,50146500.00
CUS000611,88,5,34304500.00
CUS000480,90,5,49599000.00
CUS000267,102,5,66732500.00
CUS000740,129,4,57359000.00
CUS000427,87,7,81615000.00
CUS000240,165,1,3714500.00
CUS000865,138,3,45268000.00
CUS000552,98,6,99860000.00
CUS000629,89,4,33341500.00
CUS000780,110,7,79422500.00
CUS000546,181,3,29157500.00
CUS000042,112,7,97633500.00
CUS000957,98,5,88905000.00
CUS000312,182,4,56944500.00
CUS000231,88,2,14958500.00
CUS000666,96,8,98024500.00
CUS000158,140,5,39310000.00
CUS000991,98,5,46416000.00
CUS000415,133,7,81342500.00
CUS000948,132,4,27194500.00
CUS000820,89,8,79872500.00
CUS000482,88,4,60077000.00
CUS000136,96,4,31673000.00
CUS000521,91,9,132739500.00
CUS000963,91,6,91970500.00
CUS000269,120,2,28203500.00
CUS000990,112,2,13564000.00
CUS000322,134,9,121013500.00
CUS000313,215,2,47606000.00
CUS000541,89,5,51495500.00
CUS000498,119,6,63285500.00
CUS000383,122,5,49240500.00
CUS000667,104,5,35823500.00
CUS000465,102,5,55030500.00
CUS000425,93,4,47122500.00
CUS000994,102,5,80020000.00
CUS000869,178,2,21402500.00
CUS000144,95,7,65247500.00
CUS000506,110,6,66052500.00
CUS000819,98,7,86109500.00
CUS000446,149,4,37910000.00
CUS000140,126,4,70803500.00
CUS000368,119,4,46713000.00
CUS000705,88,12,120448500.00
CUS000296,152,2,34600000.00
CUS000318,215,3,39303000.00
CUS000974,,0,0
CUS000082,110,9,110124000.00
CUS000213,102,2,58258500.00
CUS000145,98,8,109985500.00
CUS000917,125,2,26480500.00
CUS000603,94,3,34059000.00
CUS000217,95,3,65315000.00
CUS000713,212,3,21039000.00
CUS000769,,0,0
CUS000275,191,3,31357000.00
CUS000513,93,8,138588000.00
CUS000697,204,3,16500000.00
CUS000114,183,6,65910500.00
CUS000072,148,6,93148000.00
CUS000374,101,8,98342000.00
CUS000193,90,6,63792500.00
CUS000461,104,4,41914500.00
CUS000095,93,9,81548000.00
CUS000188,94,7,91179000.00
CUS000139,93,3,24413000.00
CUS000614,134,2,27603000.00
CUS000404,125,6,86931000.00
CUS000218,93,8,107058500.00
CUS000773,118,3,29842500.00
CUS000644,91,7,146403000.00
CUS000928,110,4,40892000.00
CUS000341,119,6,73098500.00
CUS000529,105,4,33101000.00
CUS000736,107,13,180159000.00
CUS000303,105,7,108228000.00
CUS000604,118,3,16394500.00
CUS000356,106,4,26472500.00
CUS000836,115,9,75536000.00
CUS000111,168,9,57934500.00
CUS000298,118,5,72906000.00
CUS000518,115,2,16891500.00
CUS000649,88,5,100552500.00
CUS000403,114,6,84204000.00
CUS000007,157,5,83881000.00
CUS000025,106,7,74241500.00
CUS000519,96,3,27991000.00
CUS000859,131,5,62398500.00
CUS000968,93,3,36087000.00
CUS000068,182,6,94524000.00
CUS000096,115,5,38303000.00
CUS000118,98,10,137867500.00
CUS000444,90,5,55116000.00
CUS000635,117,5,54890500.00
CUS000618,99,8,77161500.00
CUS000010,98,6,110717000.00
CUS000751,136,5,87475500.00
CUS000670,101,4,51232500.00
CUS000664,105,8,84529000.00
CUS000914,126,9,74879500.00
CUS000523,105,7,104803000.00
CUS000036,104,9,101307500.00
CUS000121,97,6,74361000.00
CUS000002,136,9,115543000.00
CUS000906,98,6,80633000.00
CUS000011,139,6,57053000.00
CUS000335,89,6,94870000.00
CUS000932,153,3,24588000.00
CUS000129,194,1,6035000.00
CUS000421,88,3,45635000.00
CUS000222,167,4,26722000.00
CUS000263,134,9,127347000.00
CUS000216,101,3,62381000.00
CUS000941,97,5,68583000.00
CUS000774,98,3,22211500.00
CUS000301,89,3,18920000.00
CUS000837,89,9,120686500.00
CUS000953,108,5,59110500.00
CUS000395,151,3,25656500.00
CUS000202,102,5,40159500.00
CUS000443,111,3,59641000.00
CUS000438,104,6,81018500.00
CUS000632,124,5,43565500.00
CUS000051,91,3,32088500.00
CUS000982,167,1,14548000.00
CUS000944,106,6,102237000.00
CUS000143,101,4,31734000.00
CUS000893,99,7,84627000.00
CUS000209,142,2,12576000.00
CUS000663,135,5,89470000.00
CUS000441,179,6,63240000.00
CUS000155,88,9,127073000.00
CUS000394,91,4,39763500.00
CUS000360,137,5,52512000.00
CUS000783,109,5,87802500.00
CUS000199,156,4,51533500.00
CUS000028,97,7,87116000.00
CUS000606,114,6,103562500.00
CUS000084,87,7,101910500.00
CUS000344,110,5,46872500.00
CUS000712,161,5,35287500.00
CUS000278,148,10,83460500.00
CUS000525,97,9,94917500.00
CUS000396,113,7,120312000.00
CUS000867,103,7,86972500.00
CUS000701,126,4,26415000.00
CUS000023,98,6,104133000.00
CUS000195,110,6,71006500.00
CUS000634,88,2,7322000.00
CUS000163,180,5,42103000.00
CUS000784,102,3,6959500.00
CUS000729,139,5,40744000.00
CUS000778,104,4,37443500.00
CUS000804,102,5,62627500.00
CUS000379,93,6,58954000.00
CUS000248,101,3,51210500.00
CUS000045,159,4,19985000.00
CUS000577,105,5,53462000.00
CUS000768,88,4,49271000.00
CUS000838,87,9,157553000.00
CUS000656,170,5,84387000.00
CUS000452,89,10,126225000.00
CUS000782,96,5,74132500.00
CUS000107,105,7,80706500.00
CUS000925,109,5,61032000.00
CUS000696,94,7,94107500.00
CUS000860,96,5,82600500.00
CUS000594,181,3,24388000.00
CUS000817,149,2,20077500.00
CUS000683,92,5,65544500.00
CUS000282,,0,0
CUS000698,103,6,64992500.00
CUS000004,139,4,59384000.00
CUS000543,95,6,92219500.00
CUS000255,100,4,42342500.00
CUS000731,127,5,40096000.00
CUS000380,98,1,13349500.00
CUS000076,122,4,87850000.00
CUS000399,99,7,106498500.00
CUS000608,140,5,64355000.00
CUS000822,103,8,87880500.00
CUS000580,111,6,40082500.00
CUS000583,94,7,113299500.00
CUS000412,151,5,37115000.00
CUS000475,117,8,164104000.00
CUS000702,150,3,27286000.00
CUS000824,178,3,19331000.00
CUS000637,91,4,49778500.00
CUS000533,127,4,56949500.00
CUS000151,97,7,71691500.00
CUS000243,258,1,6184500.00
CUS000411,107,7,87347500.00
CUS000921,100,4,30001000.00
CUS000005,125,6,103481000.00
CUS000628,131,2,23387000.00
CUS000915,88,6,71143000.00
CUS000549,87,3,24469000.00
CUS000800,117,3,52998500.00
CUS000586,98,5,51082500.00
CUS000317,125,6,68420500.00
CUS000830,129,4,76640000.00
CUS000802,105,4,30362500.00
CUS000182,92,6,52654000.00
CUS000215,94,3,18488500.00
CUS000453,152,5,70206500.00
CUS000794,196,3,39019000.00
CUS000112,91,6,73689000.00
CUS000450,91,6,65395000.00
CUS000555,163,2,25312000.00
CUS000875,165,5,31462000.00
CUS000904,117,6,90510000.00
CUS000104,103,4,62617500.00
CUS000685,153,1,9435000.00
CUS000429,102,10,79854500.00
CUS000238,154,4,43679500.00
CUS000762,144,3,43756500.00
CUS000207,156,6,74044000.00
CUS000700,106,5,50179000.00
CUS000189,119,9,103584500.00
CUS000814,104,6,96174500.00
CUS000681,167,5,60509000.00
CUS000835,155,4,56727500.00
CUS000655,103,5,95098500.00
CUS000117,89,3,25114500.00
CUS000907,120,4,42015000.00
CUS000576,96,6,62750500.00
CUS000899,89,4,24256000.00
CUS000228,206,3,51754000.00
CUS000385,89,7,79345000.00
CUS000626,172,5,31782000.00
CUS000514,103,4,44373000.00
CUS000369,173,3,41912500.00
CUS000268,168,5,77760000.00
CUS000014,191,2,22739000.00
CUS000790,170,2,20918000.00
CUS000509,199,5,75159000.00
CUS000214,204,4,42388500.00
CUS000725,247,1,8037000.00
CUS000342,90,8,133345000.00
CUS000116,143,5,73136000.00
CUS000293,144,3,35399000.00
CUS000417,90,10,120610000.00
CUS000791,112,5,38922000.00
CUS000995,93,6,68122000.00
CUS000765,118,5,64676000.00
CUS000743,98,9,111150500.00
CUS000846,98,7,131967500.00
CUS000159,119,7,67075000.00
CUS000951,115,5,55683500.00
CUS000308,112,6,95958000.00
CUS000511,106,3,17919500.00
CUS000910,142,3,32232000.00
CUS000737,125,6,82557500.00
CUS000134,100,7,111166000.00
CUS000323,135,5,87218500.00
CUS000101,129,4,42024000.00
CUS000945,87,10,114813500.00
CUS000154,98,3,48439000.00
CUS000410,133,4,48230500.00
CUS000408,87,11,96465500.00
CUS000873,172,4,59783500.00
CUS000805,127,6,82153500.00
CUS000530,112,2,13850000.00
CUS000148,92,10,140447000.00
CUS000119,105,9,104042500.00
CUS000660,162,5,59272500.00
CUS000978,95,7,64909000.00
CUS000127,98,4,52735000.00
CUS000388,88,9,101900000.00
CUS000803,94,7,32748500.00
CUS000053,128,4,43154500.00
CUS000536,114,3,19725000.00
CUS000503,88,7,137877500.00
CUS000384,98,7,81638000.00
CUS000554,88,4,57417500.00
CUS000654,114,3,25084500.00
CUS000187,157,6,112070500.00
CUS000993,89,7,91470500.00
CUS000694,142,1,3723000.00
CUS000857,90,2,36481000.00
CUS000818,98,5,45902000.00
CUS000665,197,2,10213000.00
CUS000845,90,4,32730000.00
CUS000030,100,7,88485000.00
CUS000456,96,3,33495500.00
CUS000348,124,5,99388500.00
CUS000688,100,4,61771000.00
CUS000099,138,4,60577000.00
CUS000708,94,2,13972500.00
CUS000745,91,7,77900000.00
CUS000643,95,6,70412500.00
CUS000676,116,6,107819000.00
CUS000133,143,4,70988000.00
CUS000909,95,6,38438500.00
CUS000715,88,5,65403500.00
CUS000605,91,1,8243000.00
CUS000678,106,3,7878000.00
CUS000447,112,8,143831000.00
CUS000516,130,3,58510500.00
CUS000913,130,2,20649000.00
CUS000883,104,5,34034500.00
CUS000903,118,5,49968000.00
CUS000105,91,7,88500000.00
CUS000251,148,2,11026000.00
CUS000490,93,3,31194500.00
CUS000863,145,3,24301500.00
CUS000770,100,4,37324500.00
CUS000612,105,6,62912500.00
CUS000596,100,7,80315000.00
CUS000074,129,3,27747500.00
CUS000789,110,7,101496500.00
CUS000767,129,3,40636000.00
CUS000689,120,5,57153000.00
CUS000505,118,7,84179500.00
CUS000758,93,7,106259500.00
CUS000264,109,5,44248000.00
CUS000565,107,4,66400000.00
CUS000353,206,1,10630500.00
CUS000890,91,8,97354000.00
CUS000502,94,4,43153000.00
CUS000983,190,4,40182000.00
CUS000579,197,1,24768500.00
CUS000206,110,7,114300000.00
CUS000273,115,2,25992500.00
CUS000309,95,6,73924000.00
CUS000277,93,3,32634500.00
CUS000772,96,9,89368500.00
CUS000247,88,5,85736500.00
CUS000315,93,4,53608000.00
CUS000304,104,12,191320000.00
CUS000316,116,2,30536000.00
CUS000744,110,8,107039000.00
CUS000362,95,5,100641000.00
CUS000691,112,3,50449500.00
CUS000888,98,5,64573500.00
CUS000389,212,3,37033000.00
CUS000440,120,6,69143500.00
CUS000755,161,6,68429500.00
CUS000950,103,3,9674500.00
CUS000085,176,2,16836000.00
CUS000497,139,3,29430000.00
CUS000640,108,6,92746500.00
CUS000998,156,4,60457000.00
CUS000905,97,2,37068000.00
CUS000809,157,4,32873000.00
CUS000831,97,8,113363000.00
CUS000588,139,3,34607000.00
CUS000524,103,6,72383500.00
CUS000834,98,3,28235000.00
CUS000294,114,2,21425500.00
CUS000510,96,4,42892500.00
CUS000730,102,8,145137500.00
CUS000929,142,2,14558000.00
CUS000372,151,5,49849000.00
CUS000167,88,8,67235500.00
CUS000792,127,4,20670500.00
CUS000328,114,3,20790000.00
CUS000397,99,5,39889500.00
CUS000690,182,3,49692500.00
CUS000539,152,5,101593000.00
CUS000578,189,2,26580500.00
CUS000671,118,4,80418500.00
CUS000221,107,5,50555500.00
CUS000366,154,5,81719000.00
CUS000567,126,3,23774500.00
CUS000501,87,3,7897500.00
CUS000200,109,4,60667000.00
CUS000520,133,2,30924500.00
CUS000889,90,5,46509000.00
CUS000686,120,5,59800000.00
CUS000185,106,7,101832000.00
CUS000677,123,3,17712000.00
CUS000997,133,4,37270500.00
CUS000896,97,6,72712500.00
CUS000166,175,4,46899000.00
CUS000314,104,6,77241000.00
CUS000653,111,3,42380500.00
CUS000874,185,7,89450500.00
CUS000413,145,5,82295000.00
CUS000122,158,2,17259500.00
CUS000038,113,7,59478500.00
CUS000237,133,3,41526000.00
CUS000420,198,4,55906000.00
CUS000180,109,5,50429000.00
CUS000992,100,3,36811500.00
CUS000070,153,3,44990000.00
CUS000376,194,6,27368000.00
CUS000175,138,6,80237500.00
CUS000052,100,6,72525500.00
CUS000280,109,7,110326000.00
CUS000647,87,5,97627500.00
CUS000934,106,3,41557500.00
CUS000722,123,5,89034500.00
CUS000842,181,4,44879000.00
CUS000357,120,5,32718500.00
CUS000879,167,5,65332000.00
CUS000436,134,3,21492500.00
CUS000659,165,6,63346000.00
CUS000976,129,4,68443500.00
CUS000871,88,4,72816500.00
CUS000853,147,5,25920000.00
CUS000006,103,3,20019500.00
CUS000572,97,6,90228000.00
CUS000551,118,5,73662500.00
CUS000392,121,2,14856000.00
CUS000234,150,2,16789500.00
CUS000470,96,5,74952000.00
CUS000515,216,4,35291000.00
CUS000150,199,2,15687500.00
CUS000326,95,6,118564000.00
CUS000861,138,6,73548500.00
CUS000473,158,4,58320000.00
CUS000885,108,13,128875500.00
CUS000039,170,3,31809000.00
CUS000574,122,3,38229000.00
CUS000742,109,5,68771500.00
CUS000916,107,5,69391500.00
CUS000675,110,9,88611000.00
CUS000832,121,4,28531500.00
CUS000157,114,10,143498000.00
CUS000212,148,2,18407000.00
CUS000584,149,4,44281000.00
CUS000331,88,8,106248000.00
CUS000984,97,4,45902500.00
CUS000333,110,7,49465000.00
CUS000639,138,5,38676500.00
CUS000015,116,4,60967500.00
CUS000057,93,6,91532500.00
CUS000359,91,4,16116500.00
CUS000947,123,4,48970500.00
CUS000169,91,8,101156500.00
CUS000526,122,4,51230000.00
CUS000049,90,6,109931000.00
CUS000160,91,3,41860500.00
CUS000563,110,3,49951000.00
CUS000544,93,3,23683500.00
CUS000083,145,3,34188000.00
CUS000821,97,3,34060000.00
CUS000081,101,6,79818000.00
CUS000352,104,3,69764000.00
CUS000146,145,2,14321000.00
CUS000176,102,7,68451500.00
CUS000564,249,1,14295500.00
CUS000054,99,6,85083500.00
CUS000711,87,6,86085500.00
CUS000602,104,5,37710000.00
CUS000468,115,2,30389500.00
CUS000979,93,5,58402500.00
CUS000434,88,11,120776000.00
CUS000307,96,8,100119000.00
CUS000623,103,3,22545000.00
CUS000266,93,6,50204500.00
CUS000829,131,5,43286500.00
CUS000892,93,4,54492500.00
CUS000668,94,2,34237000.00
CUS000561,159,6,40825000.00
CUS000205,100,3,54000500.00
CUS000022,96,8,74812500.00
CUS000346,107,5,27623000.00
CUS000337,139,4,29181000.00
CUS000547,121,5,63211000.00
CUS000350,96,8,131567500.00
CUS000108,117,8,94020500.00
CUS000239,126,3,39165000.00
CUS000065,109,2,13993500.00
CUS000241,139,6,78458500.00
CUS000058,93,6,64339500.00
CUS000261,97,9,115830000.00
CUS000223,115,5,60469500.00
CUS000806,89,9,132793500.00
CUS000367,127,3,51826000.00
CUS000985,143,8,112253500.00
CUS000365,102,7,109460500.00
CUS000235,104,4,55004000.00
CUS000032,148,5,65762500.00
CUS000927,101,3,26950000.00
CUS000839,191,1,3006000.00
CUS000599,87,7,94433500.00
CUS000062,122,3,65854000.00
CUS000728,97,4,52006000.00
CUS000073,144,2,19259500.00
CUS000009,191,1,15381000.00
CUS000757,99,8,105001000.00
CUS000891,109,7,96976500.00
CUS000336,87,11,175471500.00
CUS000707,120,5,66046500.00
CUS000517,97,7,106001500.00
CUS000055,162,7,55131500.00
CUS000464,105,11,127224000.00
CUS000149,116,5,110677500.00
CUS000386,98,4,18647000.00
CUS000840,105,6,110256000.00
CUS000302,157,6,60651000.00
CUS000851,118,5,83377500.00
CUS000970,92,5,43952000.00
CUS000305,107,12,177303000.00
CUS000881,112,1,30297500.00
CUS000387,101,7,81712500.00
CUS000407,98,7,78092000.00
CUS000165,96,7,116204500.00
CUS000630,132,4,55905500.00
CUS000735,161,5,45969000.00
CUS000488,92,6,46457500.00
CUS000658,109,6,37673000.00
CUS000225,212,2,23885000.00
CUS000661,126,5,80258500.00
CUS000703,109,6,74045500.00
CUS000349,95,3,31749000.00
CUS000141,91,9,75270500.00
CUS000958,97,6,100202000.00
CUS000220,98,9,91614000.00
CUS000358,102,3,34596500.00
CUS000405,124,1,14137000.00
CUS000560,94,7,96029000.00
CUS000940,104,5,87132500.00
CUS000064,116,4,44788500.00
CUS000528,100,11,128379000.00
CUS000059,186,2,8811500.00
CUS000047,109,5,36964000.00
CUS000018,97,8,139242500.00
CUS000252,88,8,110073500.00
CUS000759,93,4,70992500.00
CUS000288,191,4,46321000.00
CUS000935,97,5,56746500.00
CUS000961,107,6,68970500.00
CUS000760,91,7,100939500.00
CUS000746,134,6,77223500.00
CUS000852,102,12,187823500.00
CUS000026,119,5,66220500.00
CUS000849,88,7,92663000.00
CUS000575,95,15,209701000.00
CUS000109,113,5,68374000.00
CUS000153,90,5,54918500.00
CUS000930,99,9,91593500.00
CUS000926,94,6,87087500.00
CUS000233,206,1,7760000.00
CUS000622,124,4,47173500.00
CUS000230,97,7,139840000.00
CUS000938,94,7,120960500.00
CUS000922,110,7,87503500.00
CUS000194,125,4,45542000.00
CUS000507,101,2,7686000.00
CUS000716,174,3,32053500.00
CUS000069,97,8,66238000.00
CUS000591,92,8,130288000.00
CUS000866,126,5,39562500.00
CUS000669,150,6,52535000.00
CUS000481,198,2,18908000.00
CUS000284,98,5,47165000.00
CUS000364,129,6,72494500.00
CUS000673,91,9,76518500.00
CUS000856,112,6,42202000.00
CUS000750,155,4,18438500.00
CUS000559,103,2,8356000.00
CUS000102,210,2,19680000.00
CUS000642,112,6,77541000.00
CUS000254,127,1,6298500.00
CUS000115,182,2,25764500.00
CUS000183,93,6,65407000.00
CUS000706,139,9,112769500.00
CUS000775,193,3,36272500.00
CUS000001,101,9,99059000.00
CUS000402,122,6,58567000.00
CUS000476,106,8,90975500.00
CUS000455,153,4,16446000.00
CUS000324,94,7,91618000.00
CUS000986,95,5,59574500.00
CUS000980,119,3,26504500.00
CUS000777,89,4,22896000.00
CUS000799,116,4,40996500.00
CUS000462,131,4,31099500.00
CUS000996,98,6,54509000.00
CUS000300,120,3,44434500.00
CUS000540,103,3,49337500.00
CUS000210,91,7,75015000.00
CUS000847,120,4,36244000.00
CUS000289,87,9,112710500.00
CUS000785,139,4,49356500.00
CUS000320,160,6,73911000.00
CUS000569,124,6,99953500.00
CUS000319,128,4,34315000.00
CUS000433,107,4,36616000.00
CUS000971,99,3,43510500.00
CUS000627,93,2,19315500.00
CUS000171,88,8,110691500.00
CUS000645,89,8,99406500.00
CUS000126,184,1,9917000.00
CUS000035,121,4,33633000.00
CUS000763,108,6,75485500.00
CUS000771,89,6,88553500.00
CUS000270,170,3,40869500.00
CUS000192,89,5,50586000.00
CUS000393,138,6,84395500.00
CUS000469,93,6,54363500.00
CUS000734,112,3,56019500.00
CUS000710,95,5,78006000.00
CUS000472,118,8,77605500.00
CUS000184,104,7,112079000.00
CUS000850,146,6,75772000.00
CUS000274,100,3,59688500.00
CUS000581,102,11,156489000.00
CUS000933,178,1,8490000.00
CUS000321,127,5,40431000.00
CUS000816,154,6,70081000.00
CUS000286,94,8,153034000.00
CUS000086,124,3,17140000.00
CUS000920,138,8,149958000.00
CUS000454,96,4,30787500.00
CUS000723,106,6,83430000.00
CUS000582,195,5,73092000.00
CUS000219,160,9,99746500.00
CUS000682,121,6,90922000.00
CUS000609,204,4,74051000.00
CUS000259,132,3,37576000.00
CUS000034,98,7,119478000.00
CUS000339,111,4,57875500.00
CUS000776,107,3,17630000.00
CUS000621,95,5,123944500.00
CUS000499,98,6,100137000.00
CUS000534,179,4,29012500.00
CUS000562,88,2,15558500.00
CUS000864,95,10,136665500.00
CUS000795,108,4,27320000.00
CUS000060,101,4,88645500.00
CUS000177,123,2,11181500.00
CUS000648,101,5,74075000.00
CUS000120,173,3,60322500.00
CUS000619,140,5,58826500.00
CUS000437,90,5,91307500.00
CUS000872,93,4,22207000.00
CUS000825,158,4,55286500.00
CUS000624,112,1,16580500.00
CUS000489,138,5,55799000.00
CUS000880,87,3,27812000.00
CUS000646,128,10,166109500.00
