"month","revenue"
CUS000939,11513500.00
CUS000714,18043375.00
CUS000179,16280833.33
CUS000895,13050700.00
CUS000972,11500875.00
CUS000485,9397750.00
CUS000299,8628333.33
CUS000741,8726666.67
CUS000423,7715750.00
CUS000382,15638250.00
CUS000258,9816750.00
CUS000161,7701500.00
CUS000601,13487800.00
CUS000717,9847750.00
CUS000657,11164166.67
CUS000936,13958833.33
CUS000347,11871500.00
CUS000297,29163000.00
CUS000810,9857166.67
CUS000345,20791500.00
CUS000739,14219800.00
CUS001000,15406000.00
CUS000699,14772000.00
CUS000812,21736250.00
CUS000203,13987333.33
CUS000897,15276000.00
CUS000422,11410650.00
CUS000128,14494000.00
CUS000067,13362625.00
CUS000094,18610250.00
CUS000568,18819812.50
CUS000748,7539500.00
CUS000761,10202000.00
CUS000066,12682000.00
CUS000898,12921583.33
CUS000198,13293900.00
CUS000100,4879250.00
CUS000370,25015000.00
CUS000788,3484750.00
CUS000827,13010875.00
CUS000135,20653250.00
CUS000815,9528166.67
CUS000531,9441055.56
CUS000033,18865500.00
CUS000902,17642428.57
CUS000306,5906000.00
CUS000123,9790000.00
CUS000797,13542600.00
CUS000012,15042800.00
CUS000956,18108666.67
CUS000636,11976875.00
CUS000868,10298500.00
CUS000474,15049250.00
CUS000550,15577083.33
CUS000071,12347500.00
CUS000870,16812300.00
CUS000050,16947250.00
CUS000432,6732000.00
CUS000250,8453000.00
CUS000527,2589750.00
CUS000226,18925000.00
CUS000132,12756571.43
CUS000631,11660583.33
CUS000110,20245125.00
CUS000043,3621000.00
CUS000617,14730000.00
CUS000332,11019166.67
CUS000061,9425666.67
CUS000651,2060000.00
CUS000687,6872750.00
CUS000016,15807250.00
CUS000844,9831500.00
CUS000738,8195100.00
CUS000709,7486500.00
CUS000138,12275500.00
CUS000975,12011250.00
CUS000310,17885750.00
CUS000381,6564375.00
CUS000754,15705571.43
CUS000593,15491000.00
CUS000826,11393357.14
CUS000828,12806944.44
CUS000672,7605500.00
CUS000886,13193700.00
CUS000964,13397250.00
CUS000343,551000.00
CUS000793,9888500.00
CUS000029,12584833.33
CUS000008,13410250.00
CUS000355,10583583.33
CUS000684,17283500.00
CUS000211,10254857.14
CUS000227,23143500.00
CUS000943,2505500.00
CUS000848,19261375.00
CUS000201,8490250.00
CUS000491,25264500.00
CUS000532,10876000.00
CUS000882,13788666.67
CUS000954,12175750.00
CUS000244,8358333.33
CUS000749,9634833.33
CUS000419,10193666.67
CUS000418,15132300.00
CUS000021,13604750.00
CUS000908,14993500.00
CUS000718,16424900.00
CUS000181,17402500.00
CUS000585,15702250.00
CUS000942,15524750.00
CUS000377,12957000.00
CUS000733,18848500.00
CUS000090,15768100.00
CUS000174,9828750.00
CUS000592,14956200.00
CUS000170,8968625.00
CUS000692,14413500.00
CUS000876,5591666.67
CUS000089,10674714.29
CUS000168,12091200.00
CUS000638,14232000.00
CUS000431,13945500.00
CUS000753,13444875.00
CUS000459,14606000.00
CUS000224,14117666.67
CUS000330,13952800.00
CUS000152,15761666.67
CUS000080,11148166.67
CUS000522,20034000.00
CUS000351,13302500.00
CUS000887,23657333.33
CUS000363,9379166.67
CUS000496,18110400.00
CUS000981,15859833.33
CUS000093,11001666.67
CUS000162,16973333.33
CUS000766,7300000.00
CUS000977,8721500.00
CUS000079,16715500.00
CUS000611,3571333.33
CUS000267,5418000.00
CUS000480,7485166.67
CUS000740,14339750.00
CUS000427,13395833.33
CUS000865,15089333.33
CUS000629,10627166.67
CUS000552,18722000.00
CUS000780,10660916.67
CUS000546,9719166.67
CUS000042,13947642.86
CUS000957,17781000.00
CUS000312,14909250.00
CUS000231,7333500.00
CUS000666,12253062.50
CUS000158,7862000.00
CUS000991,9306000.00
CUS000415,15243200.00
CUS000948,2394000.00
CUS000820,7235166.67
CUS000482,15019250.00
CUS000136,9458833.33
CUS000521,13935416.67
CUS000963,13516100.00
CUS000269,14101750.00
CUS000990,6782000.00
CUS000322,16573125.00
CUS000313,19620000.00
CUS000541,10299100.00
CUS000498,11547375.00
CUS000383,6091125.00
CUS000667,6900500.00
CUS000465,11164875.00
CUS000425,17552000.00
CUS000994,16004000.00
CUS000869,10701250.00
CUS000144,8397916.67
CUS000506,11008750.00
CUS000819,14035083.33
CUS000446,10452666.67
CUS000140,8531750.00
CUS000368,14527750.00
CUS000296,10020000.00
CUS000705,9553000.00
CUS000318,18626500.00
CUS000082,13556000.00
CUS000213,29129250.00
CUS000145,12920785.71
CUS000917,17850000.00
CUS000603,11353000.00
CUS000217,20900000.00
CUS000713,7013000.00
CUS000275,10452333.33
CUS000513,19275857.14
CUS000697,5500000.00
CUS000114,10985083.33
CUS000072,15524666.67
CUS000374,12292750.00
CUS000193,10632083.33
CUS000461,11242666.67
CUS000095,9532000.00
CUS000188,10515500.00
CUS000139,4605500.00
CUS000614,13801500.00
CUS000404,14488500.00
CUS000218,12768428.57
CUS000773,9947500.00
CUS000644,15843333.33
CUS000928,10223000.00
CUS000341,12592400.00
CUS000529,8513666.67
CUS000736,17365400.00
CUS000303,16905700.00
CUS000604,2318000.00
CUS000356,7960000.00
CUS000836,8574500.00
CUS000111,7141928.57
CUS000298,13796500.00
CUS000518,10910000.00
CUS000403,18179375.00
CUS000649,20110500.00
CUS000007,13036000.00
CUS000025,8005400.00
CUS000519,3881500.00
CUS000859,11215125.00
CUS000968,12029000.00
CUS000068,17250500.00
CUS000096,7690333.33
CUS000118,13767750.00
CUS000444,11023200.00
CUS000635,13117875.00
CUS000618,8708625.00
CUS000010,19096125.00
CUS000751,19919333.33
CUS000670,6815500.00
CUS000664,12790500.00
CUS000914,5112812.50
CUS000523,14245200.00
CUS000036,10714800.00
CUS000121,12393500.00
CUS000002,11901500.00
CUS000906,13955000.00
CUS000011,10146875.00
CUS000335,15811666.67
CUS000932,8196000.00
CUS000129,6035000.00
CUS000421,15211666.67
CUS000222,6680500.00
CUS000263,14958375.00
CUS000216,22661500.00
CUS000941,12234625.00
CUS000774,7403833.33
CUS000301,6306666.67
CUS000837,12406928.57
CUS000953,9784500.00
CUS000395,8552166.67
CUS000202,7740000.00
CUS000443,23715750.00
CUS000438,14869200.00
CUS000632,13095000.00
CUS000051,12919250.00
CUS000982,14548000.00
CUS000944,15164125.00
CUS000143,7878000.00
CUS000893,13661083.33
CUS000209,6288000.00
CUS000663,10638333.33
CUS000441,10540000.00
CUS000155,13483000.00
CUS000394,6618500.00
CUS000360,14568500.00
CUS000783,16221125.00
CUS000199,12883375.00
CUS000028,15702333.33
CUS000606,16658500.00
CUS000084,13938375.00
CUS000344,9899500.00
CUS000712,7057500.00
CUS000278,8974214.29
CUS000525,11313750.00
CUS000396,21460500.00
CUS000867,13258900.00
CUS000701,6603750.00
CUS000023,6142000.00
CUS000195,10294700.00
CUS000634,5499000.00
CUS000163,6447000.00
CUS000784,2319833.33
CUS000729,9776250.00
CUS000778,9360875.00
CUS000804,12525500.00
CUS000379,7758375.00
CUS000248,17070166.67
CUS000045,4996250.00
CUS000577,12029000.00
CUS000838,20570428.57
CUS000768,12317750.00
CUS000656,20071750.00
CUS000452,12401777.78
CUS000782,15867166.67
CUS000107,8171100.00
CUS000925,12206400.00
CUS000696,15611250.00
CUS000860,14240375.00
CUS000594,7780000.00
CUS000817,14467500.00
CUS000683,13108900.00
CUS000698,10832083.33
CUS000004,15995750.00
CUS000543,15369916.67
CUS000255,10585625.00
CUS000731,7786750.00
CUS000380,13349500.00
CUS000076,26448000.00
CUS000399,12098083.33
CUS000608,12871000.00
CUS000822,10985062.50
CUS000580,8685500.00
CUS000583,16034000.00
CUS000412,7423000.00
CUS000475,20513000.00
CUS000702,6782250.00
CUS000824,7408750.00
CUS000637,10482833.33
CUS000533,14237375.00
CUS000151,8125666.67
CUS000411,11093750.00
CUS000921,6196000.00
CUS000005,16465800.00
CUS000628,11693500.00
CUS000915,10807900.00
CUS000549,8156333.33
CUS000800,17666166.67
CUS000586,6853625.00
CUS000317,12266100.00
CUS000830,19160000.00
CUS000802,7590625.00
CUS000182,9324800.00
CUS000215,6162833.33
CUS000453,14041300.00
CUS000794,14136500.00
CUS000112,13471833.33
CUS000450,10899166.67
CUS000555,1270000.00
CUS000875,5080375.00
CUS000904,15792300.00
CUS000104,11540500.00
CUS000685,9435000.00
CUS000238,9130000.00
CUS000429,8588928.57
CUS000762,14585500.00
CUS000207,8521000.00
CUS000700,6353375.00
CUS000189,13215500.00
CUS000814,17940900.00
CUS000681,12751625.00
CUS000835,14181875.00
CUS000655,16638666.67
CUS000117,8061750.00
CUS000907,8291333.33
CUS000576,9281100.00
CUS000899,6064000.00
CUS000626,11217250.00
CUS000228,17251333.33
CUS000385,12351500.00
CUS000514,11093250.00
CUS000369,13970833.33
CUS000268,16473500.00
CUS000014,4870000.00
CUS000790,10459000.00
CUS000509,21265500.00
CUS000214,11232833.33
CUS000342,18020666.67
CUS000116,14627200.00
CUS000293,11799666.67
CUS000417,13160437.50
CUS000791,10814000.00
CUS000995,8239600.00
CUS000765,12935200.00
CUS000743,8213750.00
CUS000846,20900000.00
CUS000159,9379166.67
CUS000951,10605875.00
CUS000308,18670500.00
CUS000511,6544750.00
CUS000910,10744000.00
CUS000737,10732000.00
CUS000134,15880857.14
CUS000323,13615833.33
CUS000101,8417750.00
CUS000945,10073166.67
CUS000154,14505500.00
CUS000410,12057625.00
CUS000408,7672000.00
CUS000873,16624500.00
CUS000805,13692250.00
CUS000530,6925000.00
CUS000148,16296000.00
CUS000119,11150357.14
CUS000978,10543666.67
CUS000660,13719500.00
CUS000127,14370250.00
CUS000388,11322222.22
CUS000803,5418000.00
CUS000053,10535000.00
CUS000536,4145000.00
CUS000503,19696785.71
CUS000384,13852000.00
CUS000554,16022500.00
CUS000654,8361500.00
CUS000187,18052900.00
CUS000993,11126000.00
CUS000694,3723000.00
CUS000857,20801000.00
CUS000818,5798666.67
CUS000665,6793000.00
CUS000845,14629500.00
CUS000030,12989900.00
CUS000456,11165166.67
CUS000348,13143000.00
CUS000688,14853666.67
CUS000099,10081000.00
CUS000708,6986250.00
CUS000745,12345833.33
CUS000643,10351000.00
CUS000676,12876000.00
CUS000133,18896000.00
CUS000909,5998666.67
CUS000715,14825375.00
CUS000605,8243000.00
CUS000678,2626000.00
CUS000447,16035100.00
CUS000516,13304000.00
CUS000913,10324500.00
CUS000883,3438250.00
CUS000903,8910875.00
CUS000105,10552300.00
CUS000251,7587000.00
CUS000490,10398166.67
CUS000863,9850000.00
CUS000770,9232666.67
CUS000612,10485416.67
CUS000596,11473571.43
CUS000074,9981750.00
CUS000789,12375000.00
CUS000767,9922250.00
CUS000689,12228750.00
CUS000505,12509000.00
CUS000758,11138300.00
CUS000264,10540000.00
CUS000565,18034333.33
CUS000353,10630500.00
CUS000890,12955714.29
CUS000502,10499250.00
CUS000983,11547333.33
CUS000206,16328571.43
CUS000273,12996250.00
CUS000309,8729166.67
CUS000277,10878166.67
CUS000772,7992800.00
CUS000247,17147300.00
CUS000315,13402000.00
CUS000304,15029400.00
CUS000316,15268000.00
CUS000744,11543000.00
CUS000362,20128200.00
CUS000691,16816500.00
CUS000888,12276750.00
CUS000389,12344333.33
CUS000440,11473625.00
CUS000755,9283625.00
CUS000950,1306750.00
CUS000085,8418000.00
CUS000497,9748000.00
CUS000640,15457750.00
CUS000998,16514000.00
CUS000809,6329666.67
CUS000831,14170375.00
CUS000588,11535666.67
CUS000524,13695375.00
CUS000834,9411666.67
CUS000294,10712750.00
CUS000510,10723125.00
CUS000730,19029214.29
CUS000372,9454625.00
CUS000929,9148000.00
CUS000167,8046500.00
CUS000328,6820000.00
CUS000792,2884250.00
CUS000397,6925666.67
CUS000690,16564166.67
CUS000539,26250000.00
CUS000578,13290250.00
CUS000671,20104625.00
CUS000221,10895166.67
CUS000366,19168625.00
CUS000567,10514500.00
CUS000501,2223750.00
CUS000200,16672333.33
CUS000520,12828500.00
CUS000889,10136000.00
CUS000686,9936666.67
CUS000185,14122416.67
CUS000677,5904000.00
CUS000997,16525250.00
CUS000896,15167000.00
CUS000166,11724750.00
CUS000314,14541900.00
CUS000653,14126833.33
CUS000874,12778642.86
CUS000413,14629750.00
CUS000122,11157500.00
CUS000038,8496928.57
CUS000237,17587750.00
CUS000420,10881000.00
CUS000180,10085800.00
CUS000992,16351500.00
CUS000070,14996666.67
CUS000376,4561333.33
CUS000175,11398600.00
CUS000052,12095600.00
CUS000280,16423000.00
CUS000647,19178500.00
CUS000934,17405750.00
CUS000722,18021000.00
CUS000842,12316000.00
CUS000357,5438166.67
CUS000879,13502000.00
CUS000436,6490500.00
CUS000659,11746000.00
CUS000976,14810750.00
CUS000871,21125166.67
CUS000853,5001750.00
CUS000006,6673166.67
CUS000572,17674000.00
CUS000551,14732500.00
CUS000392,8206000.00
CUS000234,8394750.00
CUS000515,8569500.00
CUS000470,14743625.00
CUS000150,8644500.00
CUS000326,19270600.00
CUS000861,12258083.33
CUS000473,13786666.67
CUS000885,10809166.67
CUS000039,10513500.00
CUS000574,12743000.00
CUS000742,13754300.00
CUS000916,10984500.00
CUS000675,11654642.86
CUS000832,9253833.33
CUS000157,14481900.00
CUS000212,10951000.00
CUS000584,11070250.00
CUS000331,11144500.00
CUS000984,14343833.33
CUS000333,7066428.57
CUS000639,7963750.00
CUS000015,17166000.00
CUS000057,17076000.00
CUS000359,4029125.00
CUS000947,11383000.00
CUS000169,14532500.00
CUS000526,12807500.00
CUS000049,18321833.33
CUS000160,17441500.00
CUS000563,15537000.00
CUS000544,7894500.00
CUS000083,13119000.00
CUS000821,11353333.33
CUS000081,14130125.00
CUS000146,9731000.00
CUS000352,24987750.00
CUS000176,8025125.00
CUS000564,14295500.00
CUS000054,13673800.00
CUS000711,14990500.00
CUS000602,7542000.00
CUS000468,15194750.00
CUS000979,5246000.00
CUS000434,12534666.67
CUS000307,8554600.00
CUS000623,6489500.00
CUS000266,7537875.00
CUS000829,6208750.00
CUS000892,6687000.00
CUS000668,17118500.00
CUS000561,7744500.00
CUS000205,13416250.00
CUS000022,9666928.57
CUS000346,3836500.00
CUS000337,7295250.00
CUS000547,9530875.00
CUS000350,16067416.67
CUS000108,12758250.00
CUS000239,13055000.00
CUS000065,6996750.00
CUS000241,13076416.67
CUS000058,11940700.00
CUS000261,13080750.00
CUS000223,11953375.00
CUS000806,15075562.50
CUS000365,13749700.00
CUS000367,17275333.33
CUS000985,11750357.14
CUS000235,13751000.00
CUS000032,11789875.00
CUS000927,8983333.33
CUS000839,3006000.00
CUS000599,17445900.00
CUS000062,21951333.33
CUS000728,13001500.00
CUS000073,19043500.00
CUS000009,15381000.00
CUS000757,13125125.00
CUS000891,14256416.67
CUS000336,16644785.71
CUS000707,13209300.00
CUS000517,15143071.43
CUS000055,8545250.00
CUS000464,12639000.00
CUS000149,22135500.00
CUS000386,4661750.00
CUS000840,18985200.00
CUS000302,5742800.00
CUS000851,15701166.67
CUS000970,8512500.00
CUS000305,14264722.22
CUS000881,30297500.00
CUS000387,11498600.00
CUS000407,4785833.33
CUS000165,17266583.33
CUS000630,15561500.00
CUS000735,11077250.00
CUS000488,7742916.67
CUS000658,8314250.00
CUS000225,11942500.00
CUS000661,19385166.67
CUS000703,14140875.00
CUS000349,25303000.00
CUS000141,8252375.00
CUS000958,18424700.00
CUS000220,10923428.57
CUS000358,11532166.67
CUS000405,14137000.00
CUS000560,12361200.00
CUS000940,17426500.00
CUS000064,12802833.33
CUS000528,11331571.43
CUS000059,4405750.00
CUS000047,6961166.67
CUS000018,21404000.00
CUS000252,18155500.00
CUS000759,17748125.00
CUS000288,13301333.33
CUS000935,11349300.00
CUS000961,9892100.00
CUS000760,12911000.00
CUS000746,12981875.00
CUS000852,15006562.50
CUS000026,13244100.00
CUS000849,13273500.00
CUS000575,13538181.82
CUS000109,12771500.00
CUS000153,13943666.67
CUS000930,10108437.50
CUS000926,14514583.33
CUS000233,7760000.00
CUS000622,12487666.67
CUS000230,23665375.00
CUS000938,19420000.00
CUS000922,13135166.67
CUS000194,11404333.33
CUS000507,3843000.00
CUS000716,10684500.00
CUS000069,9060642.86
CUS000591,16913428.57
CUS000866,6633875.00
CUS000669,8793875.00
CUS000481,9454000.00
CUS000284,10361250.00
CUS000364,12583300.00
CUS000673,8778937.50
CUS000856,7544500.00
CUS000750,4609625.00
CUS000102,9840000.00
CUS000642,11927900.00
CUS000115,12882250.00
CUS000183,10412000.00
CUS000706,15332666.67
CUS000775,12806750.00
CUS000001,10854875.00
CUS000402,10226700.00
CUS000476,11117071.43
CUS000455,4111500.00
CUS000324,13055583.33
CUS000986,11914900.00
CUS000980,8834833.33
CUS000777,5894000.00
CUS000799,10112166.67
CUS000462,7382750.00
CUS000996,10835200.00
CUS000300,14490500.00
CUS000540,16445833.33
CUS000210,14149375.00
CUS000847,15119750.00
CUS000289,12523388.89
CUS000785,17490500.00
CUS000320,14024100.00
CUS000569,9390250.00
CUS000319,6904250.00
CUS000971,10929000.00
CUS000433,10465333.33
CUS000627,9657750.00
CUS000171,12224300.00
CUS000645,12404416.67
CUS000035,8197666.67
CUS000763,12580916.67
CUS000771,17899375.00
CUS000270,13623166.67
CUS000192,11509000.00
CUS000393,15672875.00
CUS000469,10854700.00
CUS000734,25012750.00
CUS000710,11294500.00
CUS000472,9113083.33
CUS000184,18180500.00
CUS000850,9987100.00
CUS000274,19896166.67
CUS000581,12913333.33
CUS000933,8490000.00
CUS000321,5294166.67
CUS000816,11776900.00
CUS000286,19811416.67
CUS000086,4788000.00
CUS000920,23848000.00
CUS000454,5600500.00
CUS000723,13905000.00
CUS000582,16652125.00
CUS000219,12060571.43
CUS000682,7720625.00
CUS000609,18512750.00
CUS000034,17245833.33
CUS000339,14468875.00
CUS000776,6603000.00
CUS000621,24788900.00
CUS000499,16689500.00
CUS000534,7859000.00
CUS000562,7779250.00
CUS000795,6526000.00
CUS000864,12938250.00
CUS000060,22161375.00
CUS000177,5590750.00
CUS000648,19104500.00
CUS000120,20107500.00
CUS000619,12054000.00
CUS000437,19060500.00
CUS000872,5551750.00
CUS000825,8578333.33
CUS000624,16580500.00
CUS000489,15163000.00
CUS000880,9270666.67
CUS000646,16718833.33
CUS000537,18663500.00
CUS000172,10036250.00
CUS000242,10559400.00
CUS000811,14672625.00
CUS000894,8095125.00
CUS000558,13486714.29
CUS000484,15701250.00
CUS000401,19879500.00
CUS000236,11777125.00
CUS000787,18929750.00
CUS000426,10254800.00
CUS000311,12863000.00
CUS000256,16831333.33
CUS000652,10705300.00
CUS000478,9695000.00
CUS000046,24737000.00
CUS000641,9502375.00
CUS000075,20021000.00
CUS000040,6383000.00
CUS000013,17174200.00
CUS000137,10355500.00
CUS000813,8359666.67
CUS000113,13676400.00
CUS000548,15913250.00
CUS000287,12577000.00
CUS000900,10180125.00
CUS000693,9135416.67
CUS000946,11958083.33
CUS000878,7103500.00
CUS000855,8284900.00
CUS000479,5658375.00
CUS000325,10115785.71
CUS000764,13499625.00
CUS000720,13852100.00
CUS000486,18664214.29
CUS000098,8248166.67
CUS000508,8319000.00
CUS000056,10911500.00
CUS000327,8570900.00
CUS000295,12069666.67
CUS000801,11498900.00
CUS000373,6652000.00
CUS000495,15996916.67
CUS000031,13801600.00
CUS000598,10641333.33
CUS000650,9335250.00
CUS000858,6654666.67
CUS000276,15289500.00
CUS000962,25553000.00
CUS000197,21167666.67
CUS000471,10233500.00
CUS000190,8061416.67
CUS000375,378000.00
CUS000988,10492166.67
CUS000037,11089100.00
CUS000281,7511800.00
CUS000704,11320166.67
CUS000088,9284250.00
CUS000969,9665750.00
CUS000999,11134812.50
CUS000965,8651166.67
CUS000512,9869000.00
CUS000027,13152285.71
CUS000077,18244000.00
CUS000779,16732000.00
CUS000989,19210875.00
CUS000918,5348500.00
CUS000460,13141000.00
CUS000191,11710500.00
CUS000354,13631000.00
CUS000466,11420000.00
CUS000556,19459000.00
CUS000967,11061000.00
CUS000271,16754833.33
CUS000587,21991500.00
CUS000291,14125000.00
CUS000721,9786833.33
CUS000451,10091214.29
CUS000186,10582166.67
CUS000428,10763250.00
CUS000854,13870625.00
CUS000378,4891500.00
CUS000272,9736750.00
CUS000487,10685625.00
CUS000106,14632750.00
CUS000063,17205000.00
CUS000435,1052500.00
CUS000178,11822333.33
CUS000960,12488916.67
CUS000877,5911125.00
CUS000987,13355000.00
CUS000538,18290000.00
CUS000232,23350000.00
CUS000449,6314125.00
CUS000253,9417000.00
CUS000130,7381166.67
CUS000208,7372166.67
CUS000557,8571500.00
CUS000727,11775875.00
CUS000467,9345500.00
CUS000262,8291000.00
CUS000019,3947666.67
CUS000492,12885937.50
CUS000756,6791500.00
CUS000719,11736750.00
CUS000833,14543500.00
CUS000674,17020625.00
CUS000279,11122000.00
CUS000246,7920000.00
CUS000265,18629333.33
CUS000285,11383357.14
CUS000726,14786625.00
CUS000862,11490000.00
CUS000091,14289750.00
CUS000955,13751500.00
CUS000204,13357500.00
CUS000173,17758500.00
CUS000843,3393000.00
CUS000409,11735250.00
CUS000017,18311166.67
"status","count"
confirmed,266
completed,3880
cancelled,246
pending,147
shipped,461
"category_name","revenue"
Furniture,2726178000.00
Technology,3020981000.00
Makeup,3013922500.00
Kitchen,4192039000.00
Accessories,2809430000.00
Sportswear,2816603500.00
Lifestyle,2304143500.00
Fitness,3648597000.00
Computers,2810318000.00
Skincare,4776238500.00
Outdoor,2873363500.00
Phones,3818082500.00
Personal Care,3518033500.00
Business,2460435500.00
Home Decor,3289578000.00
